,일자,구,일반승차인원,일반하차인원,일반환승인원,청소년승차인원,청소년하차인원,청소년환승인원,어린이승차인원,어린이하차인원,어린이환승인원,미분류승차인원,미분류하차인원,미분류환승인원
158,2023년 04월 01일,대덕구,53646,46877,10031,56878,49167,10454,54277,47360,10078,53646,46877,10031
159,2023년 04월 01일,유성구,108432,99064,21662,115242,104763,22830,109686,100158,21798,108432,99064,21662
160,2023년 04월 02일,동구,107669,89317,21314,112990,93364,22255,108569,90089,21416,107708,89368,21314
161,2023년 04월 02일,서구,122120,106597,29315,130864,113419,30874,123291,107572,29444,122120,106597,29315
162,2023년 04월 02일,중구,73666,65390,14006,78773,69288,14696,74476,66071,14104,73666,65390,14006
163,2023년 04월 02일,대덕구,38782,34178,6694,41256,35966,7071,39154,34485,6723,38782,34178,6694
164,2023년 04월 02일,유성구,80483,75978,17274,86147,80752,18231,81341,76756,17368,80483,75978,17274
165,2023년 04월 03일,동구,156258,137150,40263,165476,144178,42012,156960,137803,40320,156297,137206,40263
166,2023년 04월 03일,서구,224368,194373,54698,235297,202955,56698,225181,195038,54771,224368,194373,54698
167,2023년 04월 03일,중구,119872,107614,26954,128091,113194,28226,120631,108199,27002,119872,107614,26954
168,2023년 04월 03일,대덕구,81172,73316,16931,86228,76930,17558,81592,73658,16948,81172,73316,16931
169,2023년 04월 03일,유성구,143589,130200,31810,151922,136878,33289,144251,130770,31859,143591,130202,31810
170,2023년 04월 04일,동구,152473,133691,40409,161253,140333,42051,153119,134326,40463,152513,133754,40409
171,2023년 04월 04일,서구,224479,194386,54115,235174,202674,55915,225359,195111,54200,224479,194386,54115
172,2023년 04월 04일,중구,119759,107527,26613,128029,113247,27953,120539,108107,26665,119759,107527,26613
173,2023년 04월 04일,대덕구,79338,70655,16452,84380,74203,17037,79807,71035,16479,79338,70655,16452
174,2023년 04월 04일,유성구,149296,133484,32510,157758,140231,34031,150004,134149,32600,149297,133486,32510
175,2023년 04월 05일,동구,139433,120190,36006,148188,126648,37605,140053,120754,36052,139464,120233,36006
176,2023년 04월 05일,서구,214114,183425,50868,224749,191480,52579,214911,184051,50914,214114,183426,50868
177,2023년 04월 05일,중구,110682,98259,24052,118885,103673,25306,111360,98776,24097,110682,98259,24052
178,2023년 04월 05일,대덕구,74254,65900,15111,79231,69335,15687,74679,66251,15131,74254,65900,15111
179,2023년 04월 05일,유성구,138472,122260,29209,146670,128718,30560,139078,122816,29262,138473,122260,29209
180,2023년 04월 06일,동구,147050,129417,38290,156082,136223,40031,147674,130005,38332,147085,129456,38290
181,2023년 04월 06일,서구,221547,191253,53403,232118,199470,55138,222439,191953,53473,221549,191255,53403
182,2023년 04월 06일,중구,115680,104302,25968,123917,109861,27256,116401,104856,26010,115680,104302,25968
183,2023년 04월 06일,대덕구,77164,68600,15801,82249,72128,16402,77573,68938,15821,77165,68601,15801
184,2023년 04월 06일,유성구,144190,128611,30680,152596,135284,32146,144830,129205,30737,144190,128611,30680
185,2023년 04월 07일,동구,163899,144972,40637,173540,152403,42383,164675,145685,40698,163945,145027,40637
186,2023년 04월 07일,서구,234918,204148,56240,246535,213007,58146,235850,204904,56308,234920,204150,56240
187,2023년 04월 07일,중구,129400,118375,27838,138714,124876,29205,130152,118995,27898,129400,118375,27838
188,2023년 04월 07일,대덕구,83000,73596,16862,88072,77202,17449,83445,73967,16887,83001,73596,16862
189,2023년 04월 07일,유성구,150330,134669,31310,159180,141773,32763,151069,135308,31366,150332,134671,31310
190,2023년 04월 08일,동구,130770,116012,29108,136898,120862,30291,131844,116973,29210,130813,116066,29108
191,2023년 04월 08일,서구,169564,146275,38404,179754,154151,39967,171150,147585,38593,169566,146277,38404
192,2023년 04월 08일,중구,99393,90751,19026,105549,95311,19960,100581,91693,19127,99393,90751,19026
193,2023년 04월 08일,대덕구,59116,51502,11120,62454,53985,11590,59670,51927,11153,59116,51503,11120
194,2023년 04월 08일,유성구,100048,91387,19583,105466,95942,20476,101250,92480,19721,100049,91389,19583
195,2023년 04월 09일,동구,107524,89759,21548,112792,93681,22447,108262,90421,21647,107559,89802,21548
196,2023년 04월 09일,서구,121473,104939,28513,128886,110598,29676,122569,105828,28660,121473,104939,28513
197,2023년 04월 09일,중구,74953,67201,14220,79871,70784,14909,75714,67846,14278,74953,67201,14220
198,2023년 04월 09일,대덕구,40693,36342,7096,43522,38513,7558,41041,36612,7124,40694,36343,7096
199,2023년 04월 09일,유성구,79022,75158,16590,83433,78980,17375,79883,75913,16678,79024,75160,16590
200,2023년 04월 10일,동구,156456,137826,40524,165529,144767,42244,157118,138446,40584,156484,137883,40524
201,2023년 04월 10일,서구,223724,194458,53849,233973,202440,55604,224517,195109,53904,223725,194458,53849
202,2023년 04월 10일,중구,119942,107630,26714,128111,113186,28013,120675,108201,26753,119942,107630,26714
203,2023년 04월 10일,대덕구,79353,71286,16527,84315,74876,17151,79797,71632,16557,79354,71286,16527
204,2023년 04월 10일,유성구,142377,129421,31682,150517,135925,33084,143031,129994,31736,142378,129423,31682
205,2023년 04월 11일,동구,142332,124850,37863,151010,131342,39555,142951,125439,37913,142370,124904,37863
206,2023년 04월 11일,서구,215248,186662,51605,225397,194562,53305,215984,187275,51663,215248,186663,51605
207,2023년 04월 11일,중구,112815,101751,25042,120985,107290,26319,113496,102263,25078,112816,101751,25042
208,2023년 04월 11일,대덕구,76355,68117,15627,81310,71567,16173,76799,68466,15655,76356,68117,15627
209,2023년 04월 11일,유성구,138515,124737,30212,146400,130994,31584,139134,125278,30262,138515,124737,30212
210,2023년 04월 12일,동구,151922,133386,39602,160771,140101,41265,152598,134015,39650,151953,133444,39602
211,2023년 04월 12일,서구,227118,197107,54551,238221,205826,56464,228006,197849,54626,227120,197108,54551
212,2023년 04월 12일,중구,118838,107603,26678,127433,113428,28003,119539,108153,26708,118838,107604,26678
213,2023년 04월 12일,대덕구,80135,71729,16518,85165,75283,17087,80587,72095,16541,80135,71729,16518
214,2023년 04월 12일,유성구,145951,131654,31802,154231,138296,33214,146632,132234,31859,145952,131655,31802
215,2023년 04월 13일,동구,154852,137042,40346,163664,143732,42057,155544,137703,40404,154881,137084,40346
216,2023년 04월 13일,서구,228369,197778,54869,238862,205943,56637,229182,198448,54916,228369,197778,54869
217,2023년 04월 13일,중구,119982,108675,26844,128063,114266,28076,120701,109237,26886,119982,108675,26844
218,2023년 04월 13일,대덕구,82879,73802,17029,87871,77253,17581,83317,74149,17055,82881,73804,17029
219,2023년 04월 13일,유성구,145157,131292,31532,153317,137788,32921,145802,131861,31579,145157,131292,31532
220,2023년 04월 14일,동구,158659,140818,39537,167976,147899,41246,159373,141491,39601,158697,140881,39537
221,2023년 04월 14일,서구,231456,200741,54491,242476,209264,56307,232436,201537,54572,231456,200741,54491
222,2023년 04월 14일,중구,123084,112299,26776,131413,117997,27983,123788,112847,26812,123084,112299,26776
223,2023년 04월 14일,대덕구,80629,71944,16450,85428,75330,17008,81074,72302,16471,80629,71944,16450
224,2023년 04월 14일,유성구,147976,133358,30850,156308,140033,32211,148701,134006,30896,147978,133360,30850
225,2023년 04월 15일,동구,116292,102835,25356,120942,106415,26154,117184,103613,25452,116328,102880,25356
226,2023년 04월 15일,서구,149210,128424,33159,156900,134179,34207,150489,129456,33344,149210,128424,33159
227,2023년 04월 15일,중구,86050,78146,16658,90679,81504,17290,86852,78770,16713,86050,78146,16658
228,2023년 04월 15일,대덕구,49313,42453,8691,51816,44252,9009,49719,42756,8719,49313,42453,8691
229,2023년 04월 15일,유성구,88860,80393,16813,93370,84155,17499,89691,81124,16897,88861,80394,16813
230,2023년 04월 16일,동구,101736,85005,20454,106118,88305,21190,102474,85648,20528,101768,85050,20454
231,2023년 04월 16일,서구,115970,100938,27101,122558,106026,28129,116975,101801,27225,115970,100938,27101
232,2023년 04월 16일,중구,69190,61677,13604,73013,64426,14186,69973,62346,13678,69190,61677,13604
233,2023년 04월 16일,대덕구,37537,32950,6382,39580,34366,6615,37867,33219,6404,37537,32950,6382
234,2023년 04월 16일,유성구,71533,67642,14546,75717,71077,15218,72441,68405,14649,71533,67642,14546
235,2023년 04월 17일,동구,154868,136414,40590,163488,142942,42226,155583,137077,40654,154907,136466,40590
236,2023년 04월 17일,서구,219566,191207,52939,229720,199079,54620,220443,191939,53016,219566,191207,52939
237,2023년 04월 17일,중구,118768,106713,26323,126672,112063,27577,119483,107262,26368,118768,106713,26323
238,2023년 04월 17일,대덕구,78962,70398,16283,83787,73843,16858,79377,70746,16311,78963,70399,16283
239,2023년 04월 17일,유성구,139627,126774,30786,147537,133131,32155,140251,127315,30818,139628,126775,30786
240,2023년 04월 18일,동구,141285,123377,37510,149636,129634,39096,141956,123993,37567,141329,123423,37510
241,2023년 04월 18일,서구,212435,183450,50539,222604,191252,52205,213271,184123,50586,212435,183450,50539
242,2023년 04월 18일,중구,112584,101057,25324,120674,106469,26595,113263,101568,25364,112584,101057,25324
243,2023년 04월 18일,대덕구,76067,67524,15583,81056,70970,16210,76466,67838,15600,76067,67524,15583
244,2023년 04월 18일,유성구,137352,123038,29754,145270,129258,31089,137957,123585,29805,137354,123041,29754
245,2023년 04월 19일,동구,152981,134264,40742,161635,140740,42395,153684,134921,40812,153017,134309,40742
246,2023년 04월 19일,서구,229787,198891,55826,240493,207193,57605,230902,199842,55975,229787,198891,55826
247,2023년 04월 19일,중구,121393,110173,27020,130335,116129,28364,122126,110737,27067,121393,110173,27020
248,2023년 04월 19일,대덕구,80184,71521,16474,85196,75062,17090,80635,71892,16499,80185,71522,16474
249,2023년 04월 19일,유성구,148361,134162,32618,156413,140618,34002,149134,134789,32698,148361,134162,32618
250,2023년 04월 20일,동구,156493,138130,41558,164973,144603,43229,157148,138748,41619,156521,138168,41558
251,2023년 04월 20일,서구,228803,198169,54966,238990,206070,56649,229662,198866,55040,228804,198170,54966
252,2023년 04월 20일,중구,123503,111567,27796,131604,117090,29037,124167,112082,27828,123503,111567,27796
253,2023년 04월 20일,대덕구,80657,72092,16588,85555,75493,17154,81061,72418,16612,80659,72092,16588
254,2023년 04월 20일,유성구,145096,130794,31696,153135,137167,33103,145709,131344,31751,145098,130797,31696
